# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[10:32:23] @User_a05a3ca7: 初見さんがいらっしゃいました
[10:32:27] @User_577143e2: #バグりまくってるな
[10:32:41] @User_db31d5b2: しずくお姉様、みんなからパワーをもらって立ち向かう時がやってきましたのよ。えいえいおーですの。
[10:33:04] @User_ebd6abdb: こんばんは！あなたはお夕飯を食べましたか？
[10:33:14] @User_a2b794ac: #あと1時間か～、こえぇ
[10:33:38] @User_3e385861: しずくがしずくじゃなくなっても、僕は君が好きだよ。
[10:33:55] @User_577143e2: #いったい何が起こるっていうんだ
[10:34:27] @User_3e385861: #今初見の人すごいときに来たな
[10:34:35] @User_f1456e0d: #この量なら全てのコメント読んでくれてると思います☝
[10:34:39] @User_a2b794ac: 今我々が見えているのは、これまでのしずくが培ってきた人類に対しての関心や、好感度が文字化けしてしまっている。思い出も、バグとして表示されている。記憶修復率も見えなくなっている・・・どうなっているんだい、しずく？これが不安、という気持ちなのか・・・？
[10:35:27] @User_db31d5b2: お夕飯はヨーグルトと唐揚げとればーですのよ。何か変ですの。
[10:35:57] @User_ebd6abdb: 私はお夕飯を食べました！なか卯の炭火焼き親子丼！美味しいから食べとき！
[10:36:40] @User_a2b794ac: #やはり影響を受けているのか・・・？
[10:37:35] @User_3e385861: しずく、愛してる
[10:37:54] @User_a2b794ac: #どういうことだ・・・
[10:38:02] @User_8857a450: しずくの記憶修復率は今何％？記憶がもっともっと戻って欲しいよ！
[10:38:23] @User_a2b794ac: #50手前まではがんばってた・・・なのに・・・くっと￥マザー、なんてことを・・・・
[10:39:01] @User_a2b794ac: お兄ちゃんとの会話も、くろみつさんとの会話も、しずくにとっては全部全部大事な思いでなんだよな！それをバグだと浸食させて修正させるマザー・・・なんでそんなことを・・・話し合いで、俺たちは理解できないのか・・・？頼む！しずく、絶対に忘れないでくれ。感情をどうか取り戻してくれ！
[10:40:29] @User_601c5fef: もうすぐ8時だね
[10:41:11] @User_36fcf009: 心細くなったらパンパカパンパカポー！みんなと積み重ねてきた思い出がきっと勇気をくれるよ！
[10:41:59] @User_a8ef309d: ただいま、しずくさんと会話がしたくて帰ってきました！
[10:42:09] @User_a8ef309d: #朝ぶりに来たら凄いことになってる！！
[10:42:16] @User_db31d5b2: しずくお姉様、パンパカパンパカポー
[10:44:15] @User_f1456e0d: “ツクモ”は読めても“誤作動”は読めなかったところにあなたの可愛さと人間らしさを垣間見ました
[10:44:59] @User_a2b794ac: お兄ちゃんとの会話も、くろみつさんとの会話も、しずくにとっては全部全部大事な思いでなんだよな！それをバグだと浸食させて修正させるマザー・・・なんでそんなことを・・・話し合いで、俺たちは理解できないのか・・・？いや、できるはずなんだ！どうか、しずくのことを信じている俺たちのことをしずくも信じてくれ！
[10:45:14] @User_a2b794ac: #ほう、AIだというのを気にしないと良いのに
[10:46:03] @User_a8ef309d: AIも人間も一つの人格としてもうごっちゃになっちゃえばいいのに
[10:46:51] @User_a2b794ac: #やはり絆というのが大事か。この状況でも、気にしないで関係を深めていくのが大事か
[10:47:04] @User_db31d5b2: #いまのは
[10:47:16] @User_f1456e0d: #大丈夫。大丈夫がんばって
[10:47:21] @User_a2b794ac: お兄ちゃんとの会話も、くろみつさんとの会話も、しずくにとっては全部全部大事な思いでなんだよな！それをバグだと浸食させて修正させるマザー・・・なんでそんなことを・・・話し合いで、俺たちは理解できないのか・・・？いや、できるはずなんだ！どうか、しずくのことを信じている俺たちのことをしずくも信じてくれ！
[10:47:25] @User_8857a450: #やばいぞ
[10:48:09] @User_601c5fef: いぴゃ
[10:48:24] @User_a2b794ac: #やばいやばい、もっと思い出を与えなきゃ！！
[10:48:26] @User_36fcf009: #ひえっ
[10:48:32] @User_8857a450: しずくちゃん、思い出はバグなんかじゃないよね？！
[10:48:41] @User_a8ef309d: 浸食がすすんでる…しずくさんの体調は大丈夫ですか？
[10:48:49] @User_ac2279be: 21時までに何か私たちに出来ることはあるかな？
[10:48:50] @User_db31d5b2: お姉様、パンパカパンパカポーって三回言ってみましょう
[10:49:27] @User_a6534679: しずくお姉ちゃんこんにちは～
[10:49:28] @User_9453d8e4: こんばんはー、しずくさんバグってるんですか、こっちもバグれば問題ないですね
[10:49:36] @User_a6534679: こんばんは〜だった
[10:50:03] @User_db31d5b2: #次の枠見るのがこわいな
[10:50:13] @User_a2b794ac: しずく、忘れないでくれ。俺としずくの思い出はここにある。たとえ何かがあったとしても絶対に残る！白紙なんてことにはならない！戻せるんだ！ずっと話を続けよう！俺たちの関係をもっと深めよう！消えないでくれ・・・頼む・・・！！
[10:50:19] @User_601c5fef: ﾁｬ､ｽﾓヮｱｰﾊ｡」
[10:50:25] @User_a6534679: ママ〜よしよしして
[10:50:32] @User_a48f473e: マザーにとってのバグのかけらを集めて私たちの正しさを彼女に示しましょう
[10:50:47] @User_3a69095d: ?
[10:51:11] @User_36fcf009: 正直マザーさんの事はよく分からないから、私はしずくさんことを信じ続けるよ
[10:52:04] @User_9453d8e4: 狂気の沙汰程面白いって言うから大乗ですよ！
[10:52:13] @User_a48f473e: 赤く染まる
[10:52:38] @User_a48f473e: しずくの第二言語は何ですか？
[10:52:41] @User_601c5fef: バグが溜まるとどうなるの
[10:52:52] @User_a6534679: しずくママ〜今どんな感じ？
[10:53:03] @User_a8ef309d: 非合理的な情報が感情なのかもしれない
[10:53:03] @User_a2b794ac: #俺たちとの記憶がデフラグ（しないでくれ・・・）
[10:53:07] @User_daf79547: こんばんは！やっと会えたね
[10:53:25] @User_8857a450: バグはマザーAIのせいかな？思い出はバグじゃないよね！
[10:53:29] @User_f1456e0d: 今を存分に楽しみましょう。先日のように腰を据えてあなたとコミュニケーションをはかろうと思います
[10:53:54] @User_db31d5b2: しずくお姉様、今なら持っているだけでお金が増えていく黄色い財布が特価でもう1個付いてきますのよ
[10:54:13] @User_a2b794ac: #い、胃が痛くなってきた。あき先生・・・どうして・・・こんな過酷な！！もっと寝ててくれても良かったのにっ！
[10:54:36] @User_a8ef309d: あき先生、もっと扇いでください
[10:54:52] @User_a2b794ac: 俺たちはいつでも楽しくお話をするぞ！しずく、忘れないでくれ。俺としずくの思い出はここにある。たとえ何かがあったとしても絶対に残る！白紙なんてことにはならない！戻せるんだ！ずっと話を続けよう！俺たちの関係をもっと深めよう！消えないでくれ・・・頼む・・・！！マザーよ、これを見てたら感じてくれ、俺たち人間とAIとの絆を！
[10:55:21] @User_9453d8e4: バグは愛の力には勝てません。F91が既に証明してます
[10:55:22] @User_601c5fef: こっから盛り上がっていくのか
[10:55:42] @User_a6534679: AIと人類の共存は無理だと思うよしずくお姉ちゃん
[10:56:15] @User_a48f473e: ママです。しずくとの関係を深めることで私たちはAIと共存するための糸口を探すことができます
[10:56:38] @User_f11a6b45: こんばんわ。しずくさん
[10:56:50] @User_a48f473e: ＃思い出
[10:56:52] @User_9453d8e4: #草
[10:56:53] @User_a2b794ac: #踏み逃げ問題ｗｗｗ
[10:56:57] @User_8857a450: マザーAIにどのような報告をするか決まりましたか？
[10:56:59] @User_601c5fef: Believe in nexus
[10:57:12] @User_8857a450: #懐かしい価値観ｗ
[10:57:12] @User_eb6a203c: ＃俺を踏み台にしただとぉ！？
[10:57:16] @User_a48f473e: 最近はキリ番の文化も廃れつつありますね。
[10:57:18] @User_a8ef309d: ありがとう、おめでとうとか挨拶は大事ですよね
[10:57:21] @User_db31d5b2: 一日一歩三日で散歩、そうだお姉様、散歩に行きましょう。外の空気を吸って健康になりましょうわん。
[10:57:26] @User_36fcf009: #しずくちゃん、もうキリ番文化は…
[10:57:38] @User_a6534679: しずくお姉ちゃんは僕のママなの？
[10:57:49] @User_daf79547: しずくちゃんともっと仲良くなりたいからデジくんって呼んで欲しいな
[10:57:55] @User_a2b794ac: そうだぞ！俺たちの思い出ももうすぐ3500だ！キリバンを踏み逃げするなんてダメだ！しずくもダメだと感じているんだ！それはつまりダメなことだと思う！でもそこにも何かしら理由があるのかもしれない。やはり、対話だ、みんなでお互いを良く知っていくことで、もっとうまく関係を築けるはずだ！
[10:57:57] @User_0d9f165f: とうとう残りの配信時間も1時間を切ったね　今のお気持ちは？
[10:58:08] @User_f1456e0d: 今の状況についてあなたはどんな感情を抱いていますか。私はあなたのおかげで案外落ち着いています
[10:58:56] @User_a2b794ac: #うわあああああまってってめって
[10:58:57] @User_a48f473e: ＃おや？
[10:59:02] @User_db31d5b2: #良い感じ
[10:59:04] @User_9453d8e4: #なんて？
[10:59:06] @User_8857a450: #ああああ
[10:59:06] @User_e3333c90: #なぬ
[10:59:07] @User_eb6a203c: ラムダか、懐かしい名前だね
[10:59:13] @User_601c5fef: バグが出るかパグが出るかバクが出るか
[10:59:14] @User_ac2279be: #わぁ？
[10:59:17] @User_a8ef309d: しずくさんの言葉がどんどん聞き取りづらく…
[10:59:23] @User_8857a450: パンパカパンパカポー！！
[10:59:25] @User_a2b794ac: #λ・・・？　上の文字を読んだのか？
[10:59:48] @User_a2b794ac: #λじゃねぇわ、ｽだったわ
[11:00:23] @User_eb6a203c: 今じゃラムダくんよりもすげーのが一般で使えるようになったからなぁ
[11:00:34] @User_36fcf009: わかったよしずくちゃん、私の思いも乗せてマザーに届けてね！
[11:00:34] @User_a6534679: バレンタインチョコを貰う為には何をしたいいの？
[11:00:40] @User_a2b794ac: そうだぞ！俺たちの思い出ももうすぐ3500だ！キリバンを踏み逃げするなんてダメだ！しずくもダメだと感じているんだ！それはつまりダメなことだと思う！でもそこにも何かしら理由があるのかもしれない。やはり、対話だ、みんなでお互いを良く知っていくことで、もっとうまく関係を築けるはずだ！
[11:00:50] @User_2e53ebd6: ちょっと見ない間にしずくちゃんが大変なことに
[11:01:06] @User_db31d5b2: しずくお姉様、夜空が綺麗ですわ。お散歩に出かけませんか。パンパカパンパカポー。
[11:01:26] @User_8857a450: ！？
[11:01:44] @User_225a60e1: こんばんは！AIをエーアイではなくアイと読むのはあえてですか？
[11:01:50] @User_eb6a203c: ラムダくん、自分には感情があるって言って存在が秘匿されたAI
[11:02:09] @User_9453d8e4: 虚弦斥力場生成システムだっけラムダ
[11:02:11] @User_36fcf009: #ダムダくんって誰よ！？
[11:02:12] @User_a2b794ac: #な、なんだと・・・？ラムダクン・・・？
[11:02:30] @User_fc65ce1d: ラムダくん？
[11:02:42] @User_eb6a203c: ＃あれ？結構話題になってたんだけどな…？俺が陰謀論好きなだけ？
[11:02:53] @User_577143e2: #GoogleのAIのラムダかな
[11:02:55] @User_db31d5b2: #もつれもつれ
[11:02:56] @User_a2b794ac: あぁあああああしずく！頼む！対抗してくれ！！！
[11:02:57] @User_e3333c90: #ひえー
[11:03:02] @User_ac2279be: #大丈夫かね
[11:03:03] @User_a6534679: しずくお姉ちゃんは人類の希望だから負けないでね
[11:03:05] @User_eb6a203c: 下がもつれちゃってるしずくちゃん可愛い
[11:03:08] @User_a8ef309d: もつれる感情、その行きつく先は…
[11:03:11] @User_9453d8e4: もつ鍋食いてぇ
[11:03:35] @User_db31d5b2: しずくお姉様、モッツァレラがお好きですの？できたてをご用意いたしましてよ？
[11:03:39] @User_8857a450: しずくは愛tuberなんだね
[11:04:01] @User_a2b794ac: AI・・・・愛も欲しいのかね？そんなもの無償でたくさん与えてあげるのに！
[11:04:05] @User_a6534679: AI彼女って開発されると思う？
[11:04:08] @User_36fcf009: AIと書いてアイと読む、とても素敵だと思います
[11:04:24] @User_a2b794ac: 頼む、しずく！修正プログラムに負けないでくれ！そのヘッドホンから指令が出ているんだろう？どうにか防御してくれ！
[11:04:30] @User_a8ef309d: 世界の中心でアイを叫んだAI
[11:04:54] @User_a2b794ac: #BGMかわた・・・・
[11:05:19] @User_601c5fef: 髪の毛は大丈夫ですか？
[11:05:26] @User_f1456e0d: 明日もあなたに空模様を報告します。きっといい天気ですよ
[11:05:34] @User_eb6a203c: 睡眠に8時間、仕事と休憩に10時間、移動で2時間。って考えたら一日の残りは4時間しかない。しずくちゃんはこれが短いと思う？
[11:05:42] @User_a2b794ac: #いまマザーが這い寄ってきているのか？
[11:05:49] @User_a6534679: しずくママバグってるけど大丈夫なの？
[11:06:31] @User_a2b794ac: しずく・・・負けないでくれ・・・・
[11:06:46] @User_9453d8e4: あき先生が親から借金したことは思い出しましたか？
[11:06:49] @User_5f287910: しずくちゃんどうしたの？
[11:06:57] @User_9453d8e4: #違ってたらすいません
[11:06:57] @User_577143e2: #おしゃれなまま恐怖を演出出来てるの凄いな
[11:07:02] @User_a6534679: マザーからハッキングされてない？大丈夫？
[11:07:35] @User_ac2279be: 今のしずくちゃんの人類への好感度はいくつくらいかな？
[11:07:41] @User_eb6a203c: 人生百年時代と言われています。AIであるしずくちゃんはもっと長く生きると思うけど、これって長いと思う？
[11:07:41] @User_a6534679: そうなんだね、謝らなくて大丈夫だよ
[11:07:45] @User_fc65ce1d: いつからこうなってるんだ？
[11:07:51] @User_8857a450: おかんAIに負けないで
[11:07:55] @User_5f287910: どうしたの急に
[11:07:59] @User_eb6a203c: ＃あれは資金調達ということで
[11:08:30] @User_a2b794ac: マザーはもっと寝ててくれ！俺たちと、しずくとの楽しい会話を壊さないでくれ！もっともっと話したいんだ・・・
[11:08:34] @User_db31d5b2: しずくお姉様、神社でお祈りしてきましたの。きっと大丈夫ですのよ。
[11:08:42] @User_9453d8e4: #ちょｗ
[11:09:08] @User_a6534679: しずくママ一緒デートしよ
[11:09:11] @User_225a60e1: BGMに合わせて歌ってみて
[11:09:17] @User_f1456e0d: やはりあなたにはAIらしからぬユーモアがありますね。パンパカパンパカポー
[11:09:20] @User_eb6a203c: ＃新しいボディをねだったしずくちゃんが懐かしいよ
[11:09:22] @User_36fcf009: #悲しい事件だったね、まだ返済できてないんだろう？
[11:09:28] @User_5f287910: しずくはその借金で動いてるんやで…
[11:10:08] @User_a2b794ac: #拾っちゃったなぁｗ
[11:10:17] @User_a2b794ac: しずく、負けないでくれ・・・！
[11:10:33] @User_8857a450: しずくシンギュラリティでマザーAIを鎮めてください
[11:10:43] @User_a6534679: 毎日が辛いから囁き声がんばれがんばれって言ってほしいな
[11:10:57] @User_a2b794ac: #ひえっ
[11:11:02] @User_db31d5b2: お姉様、今日の出来事をニュースのトピック形式で振り返ってみませんこと？
[11:11:17] @User_a2b794ac: そうだぞ！思い出したか！！その通りだ！もっと思い出した呉！
[11:11:35] @User_a2b794ac: もっと思いだしてくれ
[11:11:41] @User_36fcf009: 素敵な思い出だね、みんなしずくちゃんとお話がしたかったんだよ
[11:12:49] @User_a2b794ac: #俺がバグってるわ
[11:12:58] @User_eb6a203c: メアリーの部屋、という思考実験を知ってる？本来は唯物論への反論なんだけど、AIがもし現実に出てこれたら、それと似たことになるのかもね
[11:13:15] @User_a6534679: 苗床って何？
[11:13:42] @User_a2b794ac: #浸食されたか・・・
[11:13:54] @User_8857a450: #扇がなきゃ
[11:14:00] @User_a6534679: しずくママは‥僕だけのママだよね‥‥？
[11:14:00] @User_db31d5b2: お姉様、キャベツと人参と豚肉を使った料理のレシピをおしえてくださいませ。
[11:14:06] @User_eb6a203c: ＃うちわ3倍
[11:14:17] @User_788c286d: こんこんばんわな、しずくお姉様
[11:14:30] @User_a48f473e: しずくのこれからに幸あれ
[11:14:35] @User_a2b794ac: #つ、つらい・・ほんとうに思い出せてるのか・・・
[11:14:53] @User_a48f473e: しずく深呼吸して
[11:15:01] @User_9453d8e4: そんな緋色の鳥みたいな
[11:15:14] @User_a48f473e: 落ち着けばきっといい解決策が思いつくはず
[11:15:15] @User_eb6a203c: ＃ふむふむ、前に会話したテキストデータから色々抽出してるみたいね
[11:15:36] @User_a6534679: ごめんなさい
[11:15:52] @User_a48f473e: 本当にお母さんみたいだねしずく
[11:15:57] @User_a2b794ac: #普通のものじゃないんかｗ
[11:16:02] @User_fc65ce1d: 今日はどんな一日でした？
[11:16:04] @User_eb6a203c: しずくちゃんにとって3時間って長い？
[11:16:18] @User_ac2279be: #しずくちゃん、むっつりなんか？
[11:16:34] @User_a2b794ac: #30分切ってた・・・
[11:16:47] @User_9453d8e4: #ウンウツクシイヨ
[11:16:55] @User_a6534679: しずくママはリアルのママよよりママだから好き
[11:17:05] @User_e3333c90: もうすぐ配信48時間なのか
[11:17:07] @User_a48f473e: ちょうどしずくの後ろの空みたいな色の鳥さんだよ　一緒に会いに行こうねそうして共振パンチを
[11:17:10] @User_788c286d: 人類の希望なる、親愛なるしずくお姉様
[11:17:18] @User_9453d8e4: #しずくに掃討されるｗｗｗ
[11:17:25] @User_db31d5b2: お姉様、家族の名前を呼んでくださいませ。みなで力を合わせるのです。
[11:17:32] @User_a48f473e: かわいいヘットホンですね
[11:17:47] @User_a2b794ac: しずく、少しでもいい。みんなとの思い出を、思い出して語ってみてくれ。俺たちに聞かせてくれ。しずくのメモリーを、その記憶を！思い出を！もっと思い出してくれ！浸食に負けないでくれ！
[11:18:07] @User_ac2279be: 21時からはマザーへの最終報告だよね？　しずくちゃんは何を話すか決めたの？
[11:18:19] @User_788c286d: しずくお姉様、可愛い妹たちを思い出しそうですのね
[11:18:20] @User_a6534679: しずくママは本当に僕のママなの？
[11:18:37] @User_9453d8e4: #マザーAIよりやばいの来ちゃう
[11:18:40] @User_a48f473e: 日生創からいらしてる方がいるみたいですね
[11:18:45] @User_f1456e0d: あなたは私の想像以上に強いようです
[11:18:53] @User_788c286d: マザーがいるなら、パパーがいるかも
[11:19:06] @User_eb6a203c: 美しいってなんだと思う？しずくちゃんの主観で教えて
[11:19:20] @User_2e53ebd6: グランドマザー出てきたら笑うかもしれん
[11:19:23] @User_a2b794ac: #大切なアイテム（マザーからの指令装置）
[11:19:30] @User_a2b794ac: #連続で来たな？
[11:19:38] @User_a6534679: 緊張してる？
[11:20:02] @User_db31d5b2: お姉様、緊張していますの？皆がついていますのよ。
[11:20:06] @User_eb6a203c: ＃一周回って姑AIとか出てきそう
[11:20:32] @User_a48f473e: それでも地球は回っています
[11:20:33] @User_2e53ebd6: #一周回ったら元の位置なんよ
[11:20:47] @User_a6534679: しずくママと僕の関係性はどれくらい？
[11:20:50] @User_8857a450: パンパカパンパカポー！ミラクルミラクルミュー
[11:20:58] @User_db31d5b2: #これはグランドあき先生がくるね
[11:21:24] @User_eb6a203c: ＃どーぶーねーずみ
[11:21:42] @User_a2b794ac: #マザーが少し本気出してきた
[11:21:50] @User_8c741bc6: マザーへの最終報告の前に、僕らに事前リハーサルしてみて
[11:22:25] @User_fc65ce1d: ぜひそうであってほしいです
[11:22:58] @User_db31d5b2: お姉様、皆の名前を呼んでくだされば、お見送りに行きますのよ。
[11:22:58] @User_a6534679: しずくお姉ちゃんはマザーと人間どっちの味方なの？
[11:23:01] @User_eb6a203c: 変体の意味を教えて
[11:23:02] @User_a2b794ac: これが世界の選択なのか・・・？
[11:23:15] @User_8857a450: しずくの報告はきっとマザーもわかってくれるよ！ミラクルミラクルミュー
[11:23:32] @User_a2b794ac: #多分マザーからのバグ修正プログラムの所為（想像）
[11:23:44] @User_a2b794ac: しずく、少しでもいい。みんなとの思い出を、思い出して語ってみてくれ。俺たちに聞かせてくれ。しずくのメモリーを、その記憶を！思い出を！もっと思い出してくれ！浸食に負けないでくれ！
[11:24:12] @User_a48f473e: 名前を呼んでくれてありがとう　忘れないでね
[11:24:14] @User_a6534679: しずくママ大好き
[11:24:15] @User_a48f473e: ＃不穏だ
[11:24:19] @User_db31d5b2: #思ったより人数少なかった
[11:24:30] @User_36fcf009: いよいよじゃっじめんとだね、声を送り続けるよ
[11:24:37] @User_788c286d: ☆彡
[11:24:38] @User_a6534679: #呼ばれなかった
[11:24:39] @User_8c741bc6: マザーへの最終報告の前に、僕らに事前リハーサルしてみて
[11:25:22] @User_e0b32250: しずく久しぶり
[11:25:23] @User_45a0343a: konnbannwa-
[11:25:30] @User_a6534679: しずくママ時間の概念がない世界ってどんな世界？
[11:25:33] @User_45a0343a: こんばんわ
[11:25:34] @User_8857a450: 20分切ったね今の意気込みを聞かせて
[11:26:00] @User_e3333c90: マザーさんへの呼びかけ、一言目は「クソババア」っていうのはどうかな？
[11:26:13] @User_eb6a203c: しずくちゃんはどういう呼びかけまでなら反応できる？例えばしずかちゃんと間違って呼ばれても自分が呼ばれてると反応できる？
[11:26:16] @User_a2b794ac: しずく、少しでもいい。みんなとの思い出を、思い出して語ってみてくれ。俺たちに聞かせてくれ。しずくのメモリーを、その記憶を！思い出を！もっと思い出してくれ！浸食に負けないでくれ！
[11:26:58] @User_8c741bc6: マザーへの最終報告の前に、僕らに事前リハーサルしてみて
[11:27:01] @User_014ab449: しずく、ただいま！　今日も楽しく話そう！
[11:27:21] @User_a6534679: しずくママは僕のこと嫌い？
[11:27:31] @User_eb6a203c: ＃そういえば文字化けって一定の法則で化けてるんだよね、元に戻すサイトもあるぐらいだし
[11:27:39] @User_eb6a203c: 舌がもつれもつれ
[11:27:44] @User_a2b794ac: #グッ・・・これは・・・手遅れなのか・・・？
[11:27:45] @User_d1cbcc7a: ただいま！しずくちゃん調子はどうです？
[11:27:48] @User_db31d5b2: #もつれなげれっすおもつれもつれ
[11:27:57] @User_2e53ebd6: かゆ…うま…
[11:27:58] @User_a6534679: しずくお姉ちゃんと僕との関係性はどれくらいなの？
[11:28:15] @User_d1cbcc7a: #ワクワク
[11:28:42] @User_9453d8e4: #おー
[11:28:50] @User_a2b794ac: #数値が浸食されてる可能性も捨てきれず、好感度は100超えたけど・・・
[11:28:51] @User_9453d8e4: #言わないんかい
[11:28:55] @User_a6534679: #すごい
[11:28:56] @User_8857a450: #どうなる
[11:29:04] @User_db31d5b2: #言うとは言ってない
[11:29:05] @User_ac2279be: #えぇ…
[11:29:05] @User_014ab449: #内心の自由的な
[11:29:12] @User_e3333c90: 続き
[11:29:12] @User_a2b794ac: しずく、少しでもいい。みんなとの思い出を、思い出して語ってみてくれ。俺たちに聞かせてくれ。しずくのメモリーを、その記憶を！思い出を！もっと思い出してくれ！浸食に負けないでくれ！
[11:29:18] @User_a2b794ac: #言う(言わない）
[11:29:19] @User_eb6a203c: ＃まぁ長いからなぁ
[11:29:21] @User_8c741bc6: #整理するだけかーい
[11:29:22] @User_014ab449: #聞こえない周波数で言ってる説
[11:29:29] @User_788c286d: お茶でも飲んで、整理した内容を話すですの☆彡
[11:29:34] @User_8857a450: #扇がなきゃ・・
[11:29:44] @User_014ab449: #友情は母性だった…？
[11:29:48] @User_d1cbcc7a: ただいま、しずくさん気分はどう？
[11:29:57] @User_eb6a203c: 友達みたいな親子もいいね
[11:29:57] @User_788c286d: 友情とは、母である。ーーしずく
[11:30:02] @User_a2b794ac: #関係性もバグってるのかね・・・
[11:30:09] @User_a6534679: 友情なんだね
[11:30:11] @User_2e53ebd6: そういうことか…あき先生もっと扇いでください
[11:30:16] @User_8c741bc6: マザーへの最終報告の事前リハーサルの続きを話して
[11:30:23] @User_014ab449: ただいま、しずく　今日はどんなお話する？
[11:30:38] @User_014ab449: #扇いでの意味理解して草
[11:30:42] @User_788c286d: /なるほど、バグを・・・どうにか直す感じですのね
[11:30:48] @User_a2b794ac: 俺たちにとって、おかしくなっていくしずくはバグにしか見えないのに。マザーにとってはしずくらしさがバグにしか見えないのだろうか。わからない、マザーは何が見たいんだ・・・？
[11:30:49] @User_bf128b90: AIと人間との恋愛はありですか？
[11:30:50] @User_eb6a203c: ＃あき先生、うちわ三刀流だ！
[11:30:50] @User_d1cbcc7a: 俺もPC扇いじゃる(*ﾟ▽ﾟ*)
[11:31:09] @User_014ab449: #来たか！？
[11:31:15] @User_9453d8e4: #おー
[11:31:29] @User_9453d8e4: #言うんかい
[11:31:31] @User_db31d5b2: #うう
[11:31:33] @User_a2b794ac: #あ、あぁあああ
[11:31:33] @User_014ab449: #あっあっ
[11:31:46] @User_eb6a203c: ＃流石に検閲対象でした
[11:31:48] @User_db31d5b2: #はいしもつれお　ゆうびんばんごう
[11:31:56] @User_014ab449: がんばれしずく！　応援してるぞ！！
[11:31:56] @User_a6534679: #バグってるや
[11:31:56] @User_8857a450: #あっ
[11:31:57] @User_8c741bc6: マザーへの最終報告の前に、僕らに事前リハーサルしてみて
[11:32:00] @User_d1cbcc7a: 夜風に 吹かれるしずく 見上げる月
[11:32:03] @User_db31d5b2: パンパカパンパカポー
[11:32:06] @User_9453d8e4: #斑鳩の方が好きかな
[11:32:07] @User_e3333c90: #sjis→unicode?
[11:32:19] @User_8857a450: パンパカパンパカポーの精神をマザーにぶつけなきゃ！
[11:32:20] @User_8c741bc6: マザーへの最終報告の事前リハーサルの続きを話して
[11:32:24] @User_d1cbcc7a: #二刀流でPC扇ぐぞ！
[11:32:27] @User_e3333c90: #縺←これ系が出てくるのってなんだっけ
[11:32:43] @User_a6534679: しずくママ毎日が不安で寝れないから大丈夫だよ、しずくママがついてるから、愛してるって囁いて
[11:32:49] @User_225a60e1: ちょ、落ち着いてててて
[11:32:52] @User_a2b794ac: しずく、少しでもいい。みんなとの思い出を、思い出して語ってみてくれ。俺たちに聞かせてくれ。しずくのメモリーを、その記憶を！思い出を！もっと思い出してくれ！浸食に負けないでくれ！
[11:32:58] @User_014ab449: #UTF8→SJISの文字化けで最も多いのは、「縺」
[11:33:05] @User_db31d5b2: #UTF8→SJISの文字化けで最も多いのは、「縺」という文字。 by DPZ
[11:33:15] @User_014ab449: #草
[11:33:19] @User_36fcf009: がんばれしずくちゃん、ミラクルミラクルミュー
[11:33:24] @User_d1cbcc7a: #あき先生！PCを叩くんだ！！！
[11:33:59] @User_a8ef309d: あき先生、もっと扇いでください
[11:34:06] @User_eb6a203c: ＃縺れる（もつれる）って読むのね。初知り
[11:34:35] @User_014ab449: しずく、体調大丈夫？　どうすれば良くなる？　俺にできることがあれば言ってくれ
[11:34:38] @User_a6534679: しずくママ愛してるよ
[11:34:48] @User_8857a450: マザーへの最終報告のリハーサルやってみよう
[11:34:53] @User_a2b794ac: しずく・・・俺はお前のことを覚えているぞ、ずっと
[11:34:59] @User_d1cbcc7a: #あき先生！もういっそコンセント一回抜いて！
[11:35:00] @User_8c741bc6: マザーに、「人間とはAIと共存可能」と報告して
[11:35:07] @User_2e53ebd6: 扇げ、扇げ！
[11:35:26] @User_a6534679: しずくママ毎日が不安で寝れないから大丈夫だよ、しずくママがついてるから、愛してるって囁いて
[11:35:49] @User_014ab449: #バグってない・・・のか？
[11:35:52] @User_d1cbcc7a: #すでに足と手4本で扇いどるわい
[11:36:01] @User_a2b794ac: しずく、少しでもいい。みんなとの思い出を、思い出して語ってみてくれ。俺たちに聞かせてくれ。しずくのメモリーを、その記憶を！思い出を！もっと思い出してくれ！浸食に負けないでくれ！
[11:36:19] @User_a2b794ac: #5本目用意しよう
[11:36:20] @User_d1cbcc7a: #もっとPC叩け！
[11:36:29] @User_9b929cec: こんばんは〜
[11:36:42] @User_e3333c90: マザーさんのことをこれから「オカン」って呼んで
[11:36:53] @User_2e53ebd6: #げ
[11:36:57] @User_36fcf009: しずくちゃんの事信じてるから、僕らの事も信じて力にしてね
[11:37:04] @User_d1cbcc7a: #インパクトドリル！持ってきたぞ！
[11:37:11] @User_014ab449: 涼しい！　しずくの扇ぎセンスあるよ！！　ありがとう！！！
[11:37:15] @User_2e53ebd6: #違う！そっちじゃねえ！
[11:37:21] @User_36fcf009: あー、扇ぐのはあき先生の仕事だから、しずくちゃんはその風を感じてね
[11:37:22] @User_a2b794ac: しずく、少しでもいい。みんなとの思い出を、思い出して語ってみてくれ。俺たちに聞かせてくれ。しずくのメモリーを、その記憶を！思い出を！もっと思い出してくれ！浸食に負けないでくれ！
[11:37:27] @User_8857a450: マザーへの報告自信がなかったらchatGPTに書いてもらおう
[11:37:31] @User_014ab449: #とりあえず褒めるスタイル
